"UMI_transID","UMI_cellID","target","CellId","pixel_x","pixel_y","idx_z","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","DecVal","SVM_class","SVM_cell_type"
"t_1_2_84321","c_1_2_2733","VIM",2733,840.6272,2560.718,0,232.312896,-3161.92924,0,"e",-2.21720275503733,0.95902401917797,"1","e"
"t_1_2_84327","c_1_2_2733","GPNMB",2733,799.4572,2561.186,0,224.902296,-3162.01348,0,"e",-1.13795284053725,1.00050578515318,"1","e"
"t_1_2_84344","c_1_2_2733","FN1",2733,840.22,2562.82,0,232.2396,-3162.3076,0,"e",-0.554819473281333,0.869467528762083,"1","e"
"t_1_2_84347","c_1_2_2733","CD68",2733,847.72,2562.87,0,233.5896,-3162.3166,0,"e",-1.03777978449056,0.978817168923714,"1","e"
"t_1_2_84357","c_1_2_2733","FABP5",2733,777.577,2563.546,0,220.96386,-3162.43828,0,"e",-2.24480332588722,0.901656532088629,"1","e"
"t_1_2_84371","c_1_2_2733","ADGRG1",2733,806.6876,2564.5,0,226.203768,-3162.61,0,"e",-1.89276554329984,0.999944889386775,"1","e"
"t_1_2_84379","c_1_2_2733","RPL32",2733,782.18,2565.58,0,221.7924,-3162.8044,0,"e",0,0.9015605242173,"1","e"
"t_1_2_84382","c_1_2_2733","SELENOP",2733,851.4727,2565.718,0,234.265086,-3162.82924,0,"e",-0.516759984912489,1.0727335547448,"1","e"
"t_1_2_84383","c_1_2_2733","IGHD",2733,859.0167,2565.683,0,235.623006,-3162.82294,0,"e",0,1.08962456128034,"1","e"
"t_1_2_84400","c_1_2_2733","MALAT1",2733,811.2714,2566.6,0,227.028852,-3162.988,0,"e",-0.470154514681536,1.08033936953225,"1","e"
"t_1_2_84405","c_1_2_2733","HLA-DRA",2733,849.8819,2566.718,0,233.978742,-3163.00924,0,"e",-3.03215204496956,1.05612234563367,"1","e"
"t_1_2_84409","c_1_2_2733","CD63",2733,788.48,2567.25,0,222.9264,-3163.105,0,"e",-1.29633731920844,1.0353608658527,"1","e"
"t_1_2_84421","c_1_2_2733","S100B",2733,776.2857,2568.072,0,220.731426,-3163.25296,0,"e",-0.527244912800253,0.999786746248404,"1","e"
